檔案: chair_001_01.obj, 預測類別: 0, 機率: [0.9941, 0.005, 0.0009]
檔案: chair_027_09.obj, 預測類別: 0, 機率: [0.8514, 0.1453, 0.0033]
檔案: chair_027_10.obj, 預測類別: 0, 機率: [0.9689, 0.0217, 0.0094]
檔案: chair_027_11.obj, 預測類別: 0, 機率: [0.973, 0.0108, 0.0162]
檔案: chair_027_12.obj, 預測類別: 0, 機率: [0.9983, 0.0014, 0.0003]
檔案: chair_028_01.obj, 預測類別: 0, 機率: [0.975, 0.0245, 0.0005]
檔案: chair_028_02.obj, 預測類別: 0, 機率: [0.9961, 0.0001, 0.0038]
檔案: chair_028_03.obj, 預測類別: 0, 機率: [0.9805, 0.0017, 0.0178]
檔案: chair_028_04.obj, 預測類別: 0, 機率: [0.99, 0.01, 0.0]
檔案: chair_028_05.obj, 預測類別: 0, 機率: [0.9999, 0.0001, 0.0]
檔案: chair_028_06.obj, 預測類別: 1, 機率: [0.2361, 0.7603, 0.0035]
檔案: chair_028_07.obj, 預測類別: 0, 機率: [0.9998, 0.0001, 0.0001]
檔案: chair_028_08.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_029_01.obj, 預測類別: 1, 機率: [0.0685, 0.9042, 0.0273]
檔案: chair_029_02.obj, 預測類別: 1, 機率: [0.1757, 0.8142, 0.0102]
檔案: chair_029_03.obj, 預測類別: 0, 機率: [0.9998, 0.0001, 0.0]
檔案: chair_029_04.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_029_05.obj, 預測類別: 0, 機率: [0.9993, 0.0005, 0.0002]
檔案: chair_029_06.obj, 預測類別: 0, 機率: [0.9987, 0.0011, 0.0001]
檔案: chair_029_07.obj, 預測類別: 0, 機率: [0.9998, 0.0, 0.0002]
檔案: chair_029_08.obj, 預測類別: 0, 機率: [0.9852, 0.0138, 0.001]
檔案: chair_029_09.obj, 預測類別: 0, 機率: [0.9829, 0.002, 0.0151]
檔案: chair_029_10.obj, 預測類別: 0, 機率: [0.9801, 0.0016, 0.0183]
檔案: chair_029_11.obj, 預測類別: 0, 機率: [0.999, 0.0, 0.001]
檔案: chair_029_12.obj, 預測類別: 0, 機率: [0.9829, 0.007, 0.01]
檔案: chair_029_13.obj, 預測類別: 0, 機率: [0.9521, 0.0187, 0.0292]
檔案: chair_029_14.obj, 預測類別: 0, 機率: [0.9848, 0.0002, 0.015]
檔案: chair_032_01.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_032_02.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_032_03.obj, 預測類別: 0, 機率: [0.9999, 0.0, 0.0001]
檔案: chair_032_04.obj, 預測類別: 1, 機率: [0.0526, 0.9191, 0.0282]
檔案: chair_032_05.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_032_06.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_032_07.obj, 預測類別: 0, 機率: [0.9944, 0.005, 0.0006]
檔案: chair_032_08.obj, 預測類別: 0, 機率: [0.996, 0.0038, 0.0002]
檔案: chair_032_09.obj, 預測類別: 0, 機率: [0.6733, 0.3199, 0.0067]
檔案: chair_032_10.obj, 預測類別: 0, 機率: [0.9947, 0.0041, 0.0012]
檔案: chair_053_01.obj, 預測類別: 0, 機率: [0.9926, 0.0035, 0.0039]
檔案: chair_053_02.obj, 預測類別: 0, 機率: [0.9933, 0.0022, 0.0045]
檔案: chair_053_03.obj, 預測類別: 0, 機率: [0.8561, 0.105, 0.0389]
檔案: chair_053_04.obj, 預測類別: 0, 機率: [0.9684, 0.0282, 0.0034]
檔案: chair_053_05.obj, 預測類別: 0, 機率: [0.9987, 0.0007, 0.0006]
檔案: chair_053_06.obj, 預測類別: 0, 機率: [0.9999, 0.0, 0.0001]
檔案: chair_053_07.obj, 預測類別: 0, 機率: [0.9717, 0.024, 0.0043]
檔案: chair_053_08.obj, 預測類別: 0, 機率: [0.9915, 0.0005, 0.008]
檔案: chair_053_09.obj, 預測類別: 0, 機率: [0.9619, 0.0379, 0.0003]
檔案: chair_053_10.obj, 預測類別: 0, 機率: [0.9345, 0.0002, 0.0653]
檔案: chair_053_11.obj, 預測類別: 0, 機率: [0.9331, 0.0001, 0.0669]
檔案: chair_053_12.obj, 預測類別: 2, 機率: [0.0122, 0.0, 0.9878]
檔案: chair_053_13.obj, 預測類別: 0, 機率: [0.9348, 0.0044, 0.0608]
檔案: chair_053_14.obj, 預測類別: 0, 機率: [0.9112, 0.0068, 0.0819]
檔案: chair_053_15.obj, 預測類別: 0, 機率: [0.8398, 0.0004, 0.1598]
檔案: chair_055_01.obj, 預測類別: 1, 機率: [0.4114, 0.5876, 0.001]
檔案: chair_055_02.obj, 預測類別: 1, 機率: [0.0491, 0.9437, 0.0072]
檔案: chair_055_03.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_055_04.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_055_05.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_055_06.obj, 預測類別: 0, 機率: [0.9958, 0.0, 0.0042]
檔案: chair_064_01.obj, 預測類別: 1, 機率: [0.3077, 0.6916, 0.0007]
檔案: chair_064_02.obj, 預測類別: 0, 機率: [0.7324, 0.2664, 0.0013]
檔案: chair_064_03.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_064_04.obj, 預測類別: 0, 機率: [0.9997, 0.0002, 0.0001]
檔案: chair_064_05.obj, 預測類別: 0, 機率: [0.9981, 0.0, 0.0019]
檔案: chair_064_06.obj, 預測類別: 0, 機率: [0.997, 0.0003, 0.0026]
檔案: chair_064_07.obj, 預測類別: 0, 機率: [0.7609, 0.1486, 0.0905]
檔案: chair_064_08.obj, 預測類別: 0, 機率: [0.9996, 0.0001, 0.0002]
檔案: chair_066_01.obj, 預測類別: 0, 機率: [0.9998, 0.0002, 0.0]
檔案: chair_066_02.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_066_03.obj, 預測類別: 0, 機率: [0.9981, 0.0019, 0.0]
檔案: chair_066_04.obj, 預測類別: 0, 機率: [0.9989, 0.0011, 0.0]
檔案: chair_066_05.obj, 預測類別: 0, 機率: [0.9996, 0.0004, 0.0]
檔案: chair_066_06.obj, 預測類別: 0, 機率: [0.9999, 0.0001, 0.0]
檔案: chair_066_07.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_066_08.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_066_09.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_066_10.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_066_11.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_066_12.obj, 預測類別: 1, 機率: [0.0161, 0.8828, 0.101]
檔案: chair_066_13.obj, 預測類別: 2, 機率: [0.1198, 0.0699, 0.8104]
檔案: chair_066_14.obj, 預測類別: 0, 機率: [0.9668, 0.0008, 0.0324]
檔案: chair_066_15.obj, 預測類別: 0, 機率: [0.9407, 0.0161, 0.0432]
檔案: chair_066_16.obj, 預測類別: 0, 機率: [0.8951, 0.0265, 0.0785]
檔案: chair_066_17.obj, 預測類別: 0, 機率: [0.8654, 0.0296, 0.105]
檔案: chair_066_18.obj, 預測類別: 0, 機率: [0.939, 0.0012, 0.0598]
檔案: chair_066_19.obj, 預測類別: 2, 機率: [0.3535, 0.0094, 0.6371]
檔案: chair_066_20.obj, 預測類別: 2, 機率: [0.0532, 0.0007, 0.9461]
檔案: chair_066_21.obj, 預測類別: 2, 機率: [0.5168, 0.0175, 0.4656]
檔案: chair_066_22.obj, 預測類別: 2, 機率: [0.5344, 0.1534, 0.3122]
檔案: chair_066_23.obj, 預測類別: 2, 機率: [0.4128, 0.0083, 0.5789]
檔案: chair_076_01.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_076_02.obj, 預測類別: 0, 機率: [0.9996, 0.0003, 0.0]
檔案: chair_076_03.obj, 預測類別: 0, 機率: [0.9998, 0.0, 0.0002]
檔案: chair_076_04.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_076_05.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_076_06.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_076_07.obj, 預測類別: 2, 機率: [0.5557, 0.0059, 0.4384]
檔案: chair_076_08.obj, 預測類別: 0, 機率: [0.7714, 0.0597, 0.1689]
檔案: chair_076_09.obj, 預測類別: 2, 機率: [0.0038, 0.0, 0.9962]
檔案: chair_076_10.obj, 預測類別: 2, 機率: [0.6453, 0.0, 0.3547]
檔案: chair_085_01.obj, 預測類別: 0, 機率: [0.9923, 0.0074, 0.0002]
檔案: chair_085_02.obj, 預測類別: 0, 機率: [0.9161, 0.0822, 0.0016]
檔案: chair_085_03.obj, 預測類別: 0, 機率: [0.9997, 0.0, 0.0003]
檔案: chair_085_04.obj, 預測類別: 0, 機率: [0.9992, 0.0, 0.0008]
檔案: chair_095_01.obj, 預測類別: 1, 機率: [0.0196, 0.9803, 0.0001]
檔案: chair_095_02.obj, 預測類別: 0, 機率: [0.9938, 0.0002, 0.006]
檔案: chair_095_03.obj, 預測類別: 0, 機率: [0.8887, 0.0125, 0.0988]
檔案: chair_095_04.obj, 預測類別: 1, 機率: [0.3072, 0.632, 0.0608]
檔案: chair_124_01.obj, 預測類別: 1, 機率: [0.0206, 0.9686, 0.0108]
檔案: chair_124_02.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_124_03.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_124_04.obj, 預測類別: 0, 機率: [0.9999, 0.0001, 0.0]
檔案: chair_124_05.obj, 預測類別: 0, 機率: [0.9995, 0.0004, 0.0]
檔案: chair_124_06.obj, 預測類別: 1, 機率: [0.0132, 0.9774, 0.0094]
檔案: chair_124_07.obj, 預測類別: 2, 機率: [0.021, 0.6546, 0.3245]
檔案: chair_124_08.obj, 預測類別: 2, 機率: [0.3187, 0.1609, 0.5204]
檔案: chair_124_09.obj, 預測類別: 0, 機率: [0.8184, 0.0569, 0.1247]
檔案: chair_124_10.obj, 預測類別: 0, 機率: [0.9767, 0.0, 0.0233]
檔案: chair_124_11.obj, 預測類別: 0, 機率: [0.9095, 0.0, 0.0904]
檔案: chair_124_12.obj, 預測類別: 0, 機率: [0.9155, 0.0043, 0.0802]
檔案: chair_124_13.obj, 預測類別: 0, 機率: [0.7389, 0.112, 0.1491]
檔案: chair_124_14.obj, 預測類別: 2, 機率: [0.479, 0.0515, 0.4695]
檔案: chair_124_15.obj, 預測類別: 2, 機率: [0.0018, 0.0, 0.9982]
檔案: chair_124_16.obj, 預測類別: 2, 機率: [0.0009, 0.0, 0.9991]
檔案: chair_124_17.obj, 預測類別: 2, 機率: [0.5674, 0.0026, 0.43]
檔案: chair_124_18.obj, 預測類別: 2, 機率: [0.4438, 0.2432, 0.313]
檔案: chair_138_01.obj, 預測類別: 1, 機率: [0.2207, 0.7722, 0.0071]
檔案: chair_138_02.obj, 預測類別: 1, 機率: [0.0079, 0.9908, 0.0013]
檔案: chair_138_03.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_138_04.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_138_05.obj, 預測類別: 0, 機率: [0.9821, 0.0, 0.0179]
檔案: chair_138_06.obj, 預測類別: 0, 機率: [0.9765, 0.0002, 0.0233]
檔案: chair_171_01.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_171_02.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_171_03.obj, 預測類別: 0, 機率: [0.9999, 0.0001, 0.0]
檔案: chair_171_04.obj, 預測類別: 0, 機率: [0.9995, 0.0001, 0.0005]
檔案: chair_171_05.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_171_06.obj, 預測類別: 1, 機率: [0.0193, 0.9754, 0.0052]
檔案: chair_171_07.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_171_08.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_171_09.obj, 預測類別: 0, 機率: [0.6825, 0.312, 0.0055]
檔案: chair_171_10.obj, 預測類別: 1, 機率: [0.4721, 0.489, 0.0388]
檔案: chair_171_11.obj, 預測類別: 0, 機率: [0.9929, 0.0046, 0.0026]
檔案: chair_171_12.obj, 預測類別: 0, 機率: [0.5342, 0.4613, 0.0045]
檔案: chair_244_01.obj, 預測類別: 1, 機率: [0.0598, 0.9367, 0.0035]
檔案: chair_244_02.obj, 預測類別: 0, 機率: [0.9996, 0.0004, 0.0001]
檔案: chair_244_03.obj, 預測類別: 0, 機率: [0.9808, 0.0165, 0.0027]
檔案: chair_244_04.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_244_05.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_244_06.obj, 預測類別: 0, 機率: [0.9977, 0.0, 0.0022]
檔案: chair_244_07.obj, 預測類別: 0, 機率: [0.7663, 0.2331, 0.0006]
檔案: chair_244_08.obj, 預測類別: 0, 機率: [0.9752, 0.0133, 0.0116]
檔案: chair_244_09.obj, 預測類別: 0, 機率: [0.9998, 0.0002, 0.0]
檔案: chair_244_10.obj, 預測類別: 0, 機率: [0.9831, 0.0105, 0.0065]
檔案: chair_267_01.obj, 預測類別: 0, 機率: [0.9122, 0.0878, 0.0]
檔案: chair_267_02.obj, 預測類別: 0, 機率: [0.9973, 0.0026, 0.0001]
檔案: chair_267_03.obj, 預測類別: 1, 機率: [0.3113, 0.6821, 0.0065]
檔案: chair_267_04.obj, 預測類別: 1, 機率: [0.0441, 0.9379, 0.018]
檔案: chair_267_05.obj, 預測類別: 0, 機率: [1.0, 0.0, 0.0]
檔案: chair_267_06.obj, 預測類別: 0, 機率: [0.9997, 0.0, 0.0003]
檔案: chair_267_07.obj, 預測類別: 0, 機率: [0.9999, 0.0, 0.0001]
檔案: chair_267_08.obj, 預測類別: 0, 機率: [0.9957, 0.0003, 0.0039]
